termo,definicao_curta,definicao_no_rev_p,erro_comum,frase_segura_para_usar
suscetibilidade,propensao estrutural de um local a um fenomeno,score_v6 candidato por patch a partir de features do terreno e contexto,confundir com probabilidade de evento ou previsao,estima suscetibilidade urbana a enchentes (nao preve enchentes)
alagamento,acumulo temporario de agua por drenagem insuficiente,"fenomeno urbano alvo em Recife/Curitiba, distinto de inundacao fluvial",tratar alagamento e inundacao como sinonimos,alagamento urbano review-only
inundacao,transbordamento de corpo d'agua sobre a planicie,fenomeno distinto do alagamento; relevante na separacao de Petropolis,misturar inundacao com deslizamento,inundacao separada de deslizamento
patch,recorte espacial fixo usado como unidade de analise,unidade de features e de score_v6; 300 patches (100 por regiao),tratar patch como ocorrencia confirmada,unidade de analise por patch
score_v6,indice candidato de suscetibilidade por patch,robust_minmax de combinacao linear ponderada de 5 componentes (contrato 17c35),chamar de previsao ou de probabilidade validada,score_v6 candidato review-only
score_v7,hipotetico score futuro recalibrado,"nao criado; bloqueado por amostra, missingness territorial e ausencia de benchmark",apresentar score_v7 como existente,score_v7 permanece bloqueado
review-only,"uso restrito a revisao, sem operacao nem treino",modo de toda a avaliacao observacional; nao habilita treino/GT/score_v7,ler review-only como validacao operacional,avaliacao observacional review-only
ground truth,verdade de campo confirmada por observacao direta,nao existe patch-level no REV-P; evidencia e review-only sem geometria confirmada,chamar canario ou SAR de ground truth,nao ha ground truth patch-level
referencia observacional,evidencia de ocorrencia usada so para revisao,canarios de Recife e overlays SAR de Curitiba; nunca label nem target,usar referencia como rotulo de treino,referencia observacional review-only
footprint,area atingida derivada de sensor pos-evento,footprint SAR e pos-evento; nao e feature pre-evento nem geometria oficial,usar footprint como feature preditiva pre-evento,footprint pos-evento review-only
patch_link,vinculo derivado entre evidencia e patch,derived_patch_link; separado de event_record e de score_evaluation,tratar patch_link como ocorrencia oficial por patch,derived_patch_link review-only
background/unlabeled,patches sem evidencia documentada,unlabeled_background; ausencia de evidencia nao e evidencia de ausencia,chamar background de conjunto negativo,unlabeled_background (nunca negativo)
hard negative auditado,negativo confirmado por auditoria explicita,estado raro e nao usado; nao ha negativos no REV-P,inferir negativo a partir de ausencia de evidencia,sem hard negative; ausencia nao e negativo
feature pre-evento,atributo do terreno anterior ao evento,base do score_v6; separada de footprint pos-evento,misturar feature pre-evento com footprint pos-evento,feature pre-evento separada do footprint
footprint pos-evento,extensao observada apos o evento,usado so como referencia observacional review-only,usar footprint pos-evento como preditor,footprint pos-evento como referencia review-only
vazamento temporal,uso de informacao do futuro no calculo,controlado: features pre-evento nao incorporam footprint pos-evento,ignorar a separacao temporal entre feature e footprint,controle de vazamento temporal explicito
MapBiomas,base de uso e cobertura da terra,lacuna territorial: classe/solo/agua/impervious nao materializados nos 300,afirmar cobertura territorial completa,lacuna territorial MapBiomas explicita
HAND,altura acima da drenagem mais proxima,feature hidrologica; parte da familia fisica_topografica/hidrologica,interpretar HAND como probabilidade de enchente,HAND como feature topografica-hidrologica
TWI,indice topografico de umidade,feature hidrologica; divergente nos observados (19D),usar TWI natural como drenagem urbana,TWI como indice de umidade topografica
MNDWI,indice de agua modificado,feature espectral de umidade; coerente nos observados,ler MNDWI como deteccao de enchente,MNDWI como indice espectral de umidade
NDBI,indice de area construida,feature espectral urbana; coerente nos observados,ler NDBI como risco confirmado,NDBI como indice de area construida
SAR,radar de abertura sintetica,footprint pos-evento em Curitiba; nao e geometria oficial,chamar SAR de geometria oficial de ocorrencia,SAR pos-evento (nao e geometria oficial)
