canonical_patch_id,raw_patch_id,region,trainability_status,grounding_category,blocking_reason,safe_next_action
CUR_00038,curitiba_00038,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00249,curitiba_00249,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00350,curitiba_00350,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00357,curitiba_00357,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00367,curitiba_00367,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00402,curitiba_00402,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00409,curitiba_00409,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00410,curitiba_00410,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00413,curitiba_00413,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00416,curitiba_00416,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00445,curitiba_00445,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00446,curitiba_00446,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00597,curitiba_00597,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
CUR_00661,curitiba_00661,Curitiba,SELF_SUPERVISED_CANDIDATE_NEEDS_REVIEW,ASSET_PRESENT_OUTSIDE_CANONICAL_59_REVIEW_REQUIRED,No observed-flood truth or approved weak-label protocol; only review-gated self-supervised/pretext use is plausible.,review_or_exclude_before_training_dataset_manifest
