recovery_id,priority,target_id,asset_id,patch_id,missing_field,recovery_action,expected_source,exact_manual_instruction,can_be_done_in_gee_ui,can_be_done_locally,blocks_stac_dry_run,blocks_stac_real,blocks_day10,notes
MV2_14_GREC_001,P0,ALL_128,,,gee_task_history,verificar_historico_de_tasks_GEE,Google Earth Engine — Tasks tab / code.earthengine.google.com,Abrir GEE Code Editor > aba Tasks > localizar exports dos patches do corpus (CUR/PET/REC),true,false,true,true,true,maior alavanca: recupera scene_id+datetime+cloud dos 128 patches
MV2_14_GREC_002,P0,ALL_128,,,export_script,abrir_task_export_original,GEE script / repo local de export,"Abrir o script .js/.py que gerou os exports; ler COLLECTION, filterDate, bandas",true,true,true,true,true,fonte da proveniência de export
MV2_14_GREC_003,P0,ALL_128,,,scene_id|product_id,recuperar_image_product_id,system:index / PRODUCT_ID no GEE,Para cada patch: image.get('system:index') ou PROPERTIES > PRODUCT_ID,true,false,true,true,true,scene_id por patch do corpus
MV2_14_GREC_004,P0,ALL_128,,,gee_collection,recuperar_collection,COPERNICUS/S2_SR_HARMONIZED (provável),Confirmar a ImageCollection usada no export,true,true,true,true,false,collection candidata
MV2_14_GREC_005,P0,ALL_128,,,acquisition_datetime,recuperar_data_de_aquisicao,image.date() / GENERATION_TIME,Ler a data de aquisição real (não a de processamento/futuro),true,false,true,true,true,Trilha A e STAC
MV2_14_GREC_006,P1,ALL_128,,,cloud_cover,recuperar_cloud_cover,CLOUDY_PIXEL_PERCENTAGE,Ler CLOUDY_PIXEL_PERCENTAGE da imagem selecionada,true,false,false,true,false,controle de confound
MV2_14_GREC_007,P1,ALL_128,,,tile,recuperar_tile_MGRS,MGRS_TILE,Ler MGRS_TILE da imagem (não inferir por zona),true,false,false,true,false,tile sem auto-join
MV2_14_GREC_008,P1,PETROPOLIS_REVIEW,,,scene_to_patch_link,validar_quais_cenas_T23_correspondem_a_cada_patch,revisão humana + registry oficial Protocolo-C,Existem cenas T23KPR locais (anchor Protocolo-C); confirmar manualmente se correspondem aos patches PET do corpus — NUNCA juntar por tile/zona,false,true,true,true,true,48 patches Petropolis em CANDIDATE_REVIEW
MV2_14_GREC_009,P0,CUR_REC_NOT_FOUND,,,local_scene_for_zone,recuperar_export_GEE_proprio_dos_patches_Curitiba_e_Recife,histórico GEE da usuária,Não há cena local para zonas 22/25; recuperar o export GEE específico desses patches,true,true,true,true,true,Curitiba(43)+Recife(37) sem cena local
MV2_14_GREC_010,P2,ALL_128,,,manual_lineage_fill,preencher_template_manual_de_lineage,mv2_14_manual_lineage_template.csv,"Após checagem no GEE, preencher o template com valores REAIS (nunca inventados)",false,true,true,true,true,"template versionável; só metadado leve, nunca raster"
