field_name,field_type,required,description,controlled_values,example
readiness_id,string,yes,Unique identifier for this regional readiness assessment,"AUTO or region code","RR_RECIFE_V1HL"
region,string,yes,REV-P region,"RECIFE,PETROPOLIS,CURITIBA","RECIFE"
current_protocol_c_stage,string,yes,Current stage in Protocolo C assessment,"HIERARCHY_DEFINED,GATES_DEFINED,SOURCES_MAPPED,EVIDENCE_ACQUISITION_PLANNED,EVIDENCE_PARTIAL,EVIDENCE_SUFFICIENT,PROMOTION_DECISION_READY,BLOCKED","SOURCES_MAPPED"
strongest_current_evidence,string,no,Description of strongest/most complete evidence available now,"user-provided","Defesa Civil records 2021, Sentinel-2 post-event imagery accessible, CPRM report available"
strongest_missing_evidence,string,no,Most critical missing piece for next gate closure,"user-provided","Independent anotated high-resolution imagery; field observation; formal access to municipal GIS layers"
event_confirmation_readiness,string,yes,Status of event confirmation (G1),"READY,PARTIAL,NOT_READY,BLOCKED,METHOD_REFERENCE_ONLY","PARTIAL"
source_availability_readiness,string,yes,Status of source availability (G2),"READY,PARTIAL,NOT_READY,BLOCKED,METHOD_REFERENCE_ONLY","PARTIAL"
temporal_alignment_readiness,string,yes,Status of temporal alignment (G3),"READY,PARTIAL,NOT_READY,BLOCKED,METHOD_REFERENCE_ONLY","PARTIAL"
spatial_alignment_readiness,string,yes,Status of spatial alignment (G4),"READY,PARTIAL,NOT_READY,BLOCKED,METHOD_REFERENCE_ONLY","PARTIAL"
review_gate_readiness,string,yes,Status of review gate (G7),"READY,PARTIAL,NOT_READY,BLOCKED,METHOD_REFERENCE_ONLY","NOT_READY"
independent_validation_readiness,string,yes,Status of independent corroboration (G8),"READY,PARTIAL,NOT_READY,BLOCKED,METHOD_REFERENCE_ONLY","NOT_READY"
operational_ground_truth_status,string,yes,Can operational ground truth be declared now?,"NOT_ESTABLISHED,BLOCKED_PENDING_EVIDENCE,FUTURE_ELIGIBILITY_ONLY","NOT_ESTABLISHED"
protocol_b_status,string,yes,Status of Protocolo B (detection/prediction),"BLOCKED,FUTURE_REASSESSMENT_ONLY","BLOCKED"
multimodal_status,string,yes,Status of multimodal capabilities,"HOLD,FUTURE_READINESS_ONLY","HOLD"
next_required_action,string,yes,Next action to advance readiness,"user-provided","Acquire formal access to Defesa Civil spatial data; identify independent annotation source; plan field observation campaign"
methodological_risk,string,yes,Overall methodological risk of current state,"LOW,MODERATE,HIGH,CRITICAL","HIGH"
allowed_claim,string,yes,What can be claimed based on current evidence,"user-provided","Event occurred on documented date; affected areas are registered by Defesa Civil; Sentinel-2 shows radiometric change; no operational ground truth can be declared"
forbidden_claim,string,yes,What cannot be claimed under any circumstances,"user-provided","Operational ground truth; flood detection by algorithm; flood prediction; supervised training labels; ground reference sufficiency without triangulation"
notes,string,no,Additional context or commentary,"user-provided","Region priority: HIGH. Sentinel data accessibility is excellent. Main blocker: formal access to municipal spatial data and independent validation source. DINO structural review possible but only for methodological reference, never as ground truth."
