field_name,field_type,required,description,controlled_values,example
acquisition_id,string,yes,Unique identifier for this acquisition target,"AUTO or user-generated ID","ACQ_REC_DEFESA_CIVIL_001"
region,string,yes,REV-P region target,"RECIFE,PETROPOLIS,CURITIBA","RECIFE"
target_source_name,string,yes,Name of the target source,"user-provided","Defesa Civil Municipal de Recife"
target_source_family,string,yes,Type/family of source,"CIVIL_DEFENSE_RECORD,MUNICIPAL_GIS_LAYER,OFFICIAL_OBSERVED_FLOOD_MAP,OPERATIONAL_FLOOD_PRODUCT,HIGH_RESOLUTION_IMAGE,EXPERT_ANNOTATION,ACADEMIC_DATASET,HYDROGEOMORPHOLOGICAL_CONTEXT,SENTINEL_EVENT_IMAGE,DINO_STRUCTURAL_SUPPORT,METHOD_REFERENCE","CIVIL_DEFENSE_RECORD"
institution_or_provider,string,yes,Organization responsible or hosting source,"user-provided","COMPDEC Recife"
expected_evidence_type,string,yes,Type of evidence expected,"EVENT_CONFIRMATION,SPATIAL_EXTENT,TEMPORAL_ANCHOR,STRENGTH_METRIC,LIMITATION_DOCUMENTATION,INDEPENDENT_VALIDATION","EVENT_CONFIRMATION,SPATIAL_EXTENT"
event_specific_expected,boolean,yes,Is this acquisition tied to a specific event?,"true,false","true"
expected_temporal_information,string,no,Temporal data expected (date range, frequency),"user-provided","2021-05-10 to 2021-06-15"
expected_spatial_information,string,no,Spatial coverage expected (city/region/bounds),"user-provided","Recife urban area, approx. -8.05 to -8.07 lat, -34.88 to -34.87 lon"
expected_geometry_type,string,no,Geometry type expected,"POINT,LINESTRING,POLYGON,RASTER,UNSTRUCTURED","POLYGON"
expected_resolution_or_scale,string,no,Spatial resolution or map scale,"user-provided","10 m (Sentinel-2), 20 m (Sentinel-1), 1:50000 (map)"
expected_crs_information,string,no,Coordinate reference system expected,"user-provided or standard","SIRGAS2000 (EPSG:4674), UTM Zone 25S (EPSG:31925)"
expected_uncertainty_information,string,no,Uncertainty metrics or confidence intervals expected,"user-provided","±2 pixels (20 m), CI 90%"
related_protocol_c_gate,string,yes,Which Protocolo C gate(s) this can help close,"G1_EVENT_CONFIRMATION,G2_SOURCE_AVAILABILITY,G3_TEMPORAL_ALIGNMENT,G4_SPATIAL_ALIGNMENT,G5_SOURCE_STRENGTH,G6_UNCERTAINTY_AND_LIMITATIONS,G7_HUMAN_REVIEW,G8_INDEPENDENT_CORROBORATION,G9_PROMOTION_DECISION,MULTIPLE_GATES","G1_EVENT_CONFIRMATION,G2_SOURCE_AVAILABILITY"
acquisition_priority,string,yes,Priority for acquisition,"HIGH,MEDIUM,LOW,METHOD_REFERENCE_ONLY","HIGH"
access_mode,string,yes,How access is expected,"PUBLIC_DOWNLOAD,PUBLIC_PORTAL_REVIEW,FORMAL_REQUEST,MANUAL_REVIEW,FUTURE_ACQUISITION,METHOD_REFERENCE_ONLY,UNKNOWN","PUBLIC_PORTAL_REVIEW"
local_asset_expected,boolean,yes,Is local file/asset expected from this acquisition?,"true,false","true"
can_support_reference_candidate,boolean,yes,Can this source support a reference candidate for ground reference?,"true,false","true"
cannot_support_operational_ground_truth_alone,boolean,yes,Does this source have documented limitations preventing solo use as operational ground truth?,"true,false","false"
required_follow_up,string,no,Follow-up actions or dependencies,"user-provided","Confirm with COMPDEC contact; request spatial data access"
forbidden_use,string,no,Explicitly forbidden uses of this source,"DETECTION,PREDICTION,SUPERVISED_TRAINING,OPERATIONAL_GROUND_TRUTH_DECLARATION","SUPERVISED_TRAINING,PREDICTION"
notes,string,no,Additional context or commentary,"user-provided","Part of post-2021-flood documentation; cross-check with CPRM report"
