id,categoria,nome_script_ou_schema,entrada_esperada,saida_gerada,dependencias_externas,deterministico,offline,sobrescreve_outputs,tem_teste,tem_schema,prioridade,pode_fazer_agora,motivo_bloqueio,obs
ENG_001,script_faltante,consolidar_tabela_temporal_por_patch.py,dino_sentinel_input_manifest_v1fu.csv + GEE log scene metadata,tabela_temporal_patch_scene_datetime_cloud.csv,scene IDs dos assets (EXT_002),sim,sim (após ter metadados),nao,nao,nao,CRITICA,nao,Depende de EXT_002 (scene IDs),Sem tabela temporal unificada os bloqueios de MV2-02/03 não se resolvem
ENG_002,script_faltante,validar_crs_reprojecao_overlay.py,GeoJSON patch boundary + GeoJSON evento,crs_validation_report.csv,geometria de evento real (EXT_004/EXT_005),sim,sim,nao,nao,nao,CRITICA,parcial,Eventos ainda têm geometry=null,Patch boundary REC_00019 existe; evento REC_2022 ainda null; pode validar CRS parcialmente
ENG_003,script_faltante,vincular_patch_asset_confirmado_espacial.py,manifest v1fu + raster com bounds + GeoJSON patch,patch_asset_spatial_link_confirmed.csv,GeoTIFFs espectrais (EXT_001),sim,sim,nao,nao,nao,ALTA,nao,Depende de EXT_001,Linkage atual é por ordem determinística; confirmação espacial exige bounds de raster real
ENG_004,script_faltante,vincular_patch_evento_spatial.py,patch_asset_contract.csv + event GeoJSON,patch_evento_overlay_results.csv,geometria de evento real,sim,sim,nao,nao,nao,CRITICA,nao,Depende de EXT_004/EXT_005/EXT_011,v2au/v2bs já implementam; requerem geometria não-nula
ENG_005,script_faltante,extrator_baseline_espectral.py,GeoTIFFs espectrais (B02/B03/B04/B08/B11),spectral_baseline_features.csv (NDWI/NDVI/NDBI/stats),GeoTIFFs espectrais legíveis (EXT_001),sim,sim,nao,nao,nao,ALTA,nao,Depende de EXT_001,MV2-07 tentou e obteve 0 features; bloqueio é disponibilidade do raster
ENG_006,script_faltante,exportacao_recife_petropolis_assets_visuais.py,lista de patches REC/PET sem canonical PNG,canonical_png_por_patch_rec_pet.zip,assets PNG privados das regiões ausentes,sim,nao_requer_dados_locais,nao,nao,nao,CRITICA,nao,Depende de assets privados PROJETO,CUR=100% PET=6.25% REC=5.4%; confounder bloqueado por falta de PNG das outras regiões
ENG_007,script_faltante,city_confounder_robusto_analise.py,embeddings de todas as regiões (balanceados),confounder_matrix.csv permutation_test.csv,corpus balanceado (ENG_006),sim,sim,nao,nao,nao,ALTA,nao,Depende de corpus balanceado,MV2-10 faz análise básica mas sem permutation test; exige dados balanceados primeiro
ENG_008,script_faltante,bootstrap_intra_inter_cidade.py,embeddings balanceados,bootstrap_results.csv IC_95_similarity.csv,corpus balanceado,sim,sim,nao,nao,nao,ALTA,nao,Depende de corpus balanceado,Crítica C02 da banca: ausência de IC nas distâncias topológicas
ENG_009,script_faltante,auditoria_downloads_externos.py,manifesto_publico_arquivos_externos_url_hash_mv1.csv,download_audit_status.csv,acesso rede,sim,parcial,nao,nao,nao,MEDIA,sim,Sem bloqueio,Verificar que URLs do manifesto ainda respondem e hashes conferem; roteiro de reprodutibilidade
ENG_010,script_faltante,inventario_rasters_locais_por_patch.py,diretório PROJETO local,local_raster_inventory.csv,acesso ao workspace PROJETO,sim,sim,nao,nao,nao,ALTA,nao,Depende de acesso PROJETO,Identificar exatamente quais rasters existem localmente e seus CRS/bandas para destravar ENG_001
ENG_011,script_faltante,relatorio_lacunas_consolidado.py,todos os summaries MV2-01 a MV2-10,gap_report_consolidated.json,outputs MV2 existentes,sim,sim,nao,nao,nao,MEDIA,sim,Sem bloqueio,Este próprio script seria a automação da auditoria MV2-10
ENG_012,schema_faltante,schema_temporal_manifest_unificado.json,patch_id + scene_id + datetime + cloud_cover + sensor + tile,—,—,—,—,—,nao,sim (a criar),ALTA,sim,Sem bloqueio,MV2-02 e MV2-03 têm schemas parciais mas sem campo de cloud_cover explícito
ENG_013,schema_faltante,schema_event_geometry_fechado.json,event_id + geometry + CRS + status + source + reviewed_by,—,—,—,—,—,nao,sim (a criar),ALTA,sim,Sem bloqueio,Evento REC_2022_05_24_30 tem geometry=null em todos os GeoJSON candidates
ENG_014,schema_faltante,schema_negative_formal.json,patch_id + event_id + evidencia_nao_ocorrencia + revisao_humana,—,—,—,—,—,nao,sim (a criar),MEDIA,sim,Sem bloqueio,Política negativa existe em prosa (revp_politica_evidencia_negativa_mv1.md) mas sem schema formal
ENG_015,schema_faltante,schema_silver_set.json,patch_id + label_provisorio + confianca + fonte + adjudicador,—,—,—,—,—,nao,sim (a criar),MEDIA,sim,Sem bloqueio,silver_readiness_matrix.csv existe mas sem schema canônico do silver item
ENG_016,schema_faltante,schema_split_trainability.json,split_id + patches + anti_leakage_status + spatial_block,—,—,—,—,—,nao,sim (a criar),MEDIA,sim,Sem bloqueio,spatial_split_readiness.csv existe com 3 grupos; schema formal ausente
ENG_017,teste_faltante,test_guardrail_unknown_nao_vira_negativo.py,qualquer dataset com campo label/negativo,assert fail se unknown==negativo,—,sim,sim,nao,sim (a criar),—,CRITICA,sim,Sem bloqueio,Crítica C08 da banca: guardrail textual não tem checagem programática
ENG_018,teste_faltante,test_city_as_label_blocked.py,qualquer dataset com campo label/classe,assert fail se cidade==label,—,sim,sim,nao,sim (a criar),—,CRITICA,sim,Sem bloqueio,Crítica C09: Curitiba/Recife como negativo/positivo por default deve ser bloqueado programaticamente
ENG_019,teste_faltante,test_temporal_metadata_completeness.py,dino_sentinel_input_manifest_v1fu.csv,assert cloud_cover e datetime presentes para cada asset,—,sim,sim,nao,sim (a criar),—,ALTA,sim,Sem bloqueio,162 assets sem cloud_cover; 0 com datetime; testes MV2-02 verificam formato mas não cobertura
ENG_020,teste_faltante,test_event_geometry_not_null.py,GeoJSON candidates de evento,assert geometry != null para evento aprovado,—,sim,sim,nao,sim (a criar),—,ALTA,parcial,Evento ainda null,Pode ser criado agora como gate futuro; passará quando geometria chegar
ENG_021,teste_faltante,test_spectral_features_not_visual_rendered.py,baseline_features.csv,assert is_spectral_baseline == true e not is_visual_rendered,—,sim,sim,nao,sim (a criar),—,CRITICA,sim,Sem bloqueio,Risco de confusão PNG/raster apontado como crítica; barreira deve existir no teste
ENG_022,teste_faltante,test_dinov2_coverage_balanced.py,embedding inventory por região,assert coverage_recife > 0.5 e coverage_petropolis > 0.5,corpus balanceado,sim,sim,nao,sim (a criar),—,ALTA,nao,Depende de corpus balanceado (ENG_006),Hoje CUR=100% REC=5.4% PET=6.25%; teste deve falhar até balancear
ENG_023,script_orfao,scripts/dino/revp_v1pg_v1pm_dino_representation_common.py,—,—,—,—,—,—,nao,nao,BAIXA,—,Verificar se ainda tem consumidor,Módulo comum para representação; verificar se testes cobrem
ENG_024,reproductibilidade,README_reproducao_externa.md (auditável por terceiro),todos os manifests com URL+hash,documento com passos para reprodução externa,acesso à internet,—,—,—,nao,—,MEDIA,sim,Sem bloqueio,Checklist de reprodução existe mas não como documento standalone externo
ENG_025,script_faltante,probe_gee_task_history.py,credencial GEE,lista de tasks de export com scene_id e patch_id,acesso GEE,sim,nao,nao,nao,nao,ALTA,nao,Depende de credencial GEE,Forma mais direta de recuperar scene IDs dos 128 assets; desbloquearia ENG_001/ENG_002
